# target|version|size|url|name
Ebyte_EoRa-S3_companion_radio_ble|companion-v1.0.2|1200848|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Ebyte_EoRa-S3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Ebyte_EoRa-S3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Ebyte_EoRa-S3_companion_radio_usb|companion-v1.0.2|569008|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Ebyte_EoRa-S3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Ebyte_EoRa-S3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Ebyte_EoRa-S3_Repeater|repeater-v1.0.2|1267936|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Ebyte_EoRa-S3_Repeater-nl-v1.0.2-bff9ec9.bin|Ebyte_EoRa-S3_Repeater-nl-v1.0.2-bff9ec9.bin
Ebyte_EoRa-S3_Repeater_bridge_rs232|bridge-rs232-v1.0.2|1288896|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/Ebyte_EoRa-S3_Repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|Ebyte_EoRa-S3_Repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
Ebyte_EoRa-S3_Repeater_bridge_tcp|bridge-tcp-v1.0.7|1272960|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Ebyte_EoRa-S3_Repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Ebyte_EoRa-S3_Repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Ebyte_EoRa-S3_room_server|room-server-v1.0.2|1256144|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Ebyte_EoRa-S3_room_server-nl-v1.0.2-bff9ec9.bin|Ebyte_EoRa-S3_room_server-nl-v1.0.2-bff9ec9.bin
Generic_E22_sx1262_companion_radio_ble|companion-v1.0.2|1412320|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Generic_E22_sx1262_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Generic_E22_sx1262_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Generic_E22_sx1262_companion_radio_usb|companion-v1.0.2|555584|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Generic_E22_sx1262_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Generic_E22_sx1262_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Generic_E22_sx1262_repeater|repeater-v1.0.2|1319824|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Generic_E22_sx1262_repeater-nl-v1.0.2-bff9ec9.bin|Generic_E22_sx1262_repeater-nl-v1.0.2-bff9ec9.bin
Generic_E22_sx1262_repeater_bridge_espnow|bridge-espnow-v1.0.1|1330496|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Generic_E22_sx1262_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Generic_E22_sx1262_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
